run_name,variant,seed,epoch,checkpoint_label,train_acc,val_acc,sum_delta_attn,sum_delta_mlp,final_rep_erank,layer0_delta_attn,layer1_delta_attn,layer2_delta_attn,layer0_delta_mlp,layer1_delta_mlp,layer2_delta_mlp,strongest_negative_mlp_layer,strongest_negative_mlp_delta
normal_seed0,normal,0,1100,periodic_full,1.0,0.015665796344647518,38.30307351327888,40.810497283848306,80.11357079712722,14.498173517680971,1.6731915225718357,22.131708473026073,0.002283710690308638,-1.4842501012830898,42.29246367444109,1,-1.4842501012830898
normal_seed0,normal,0,1200,periodic_full,1.0,0.0195822454308094,38.296220824508474,37.32118432094714,76.61740514545565,14.366248414835558,1.5383538671898762,22.391618542483037,-0.16259972758803443,-1.7561643326109628,39.239948381146135,1,-1.7561643326109628
normal_seed0,normal,0,1300,periodic_full,1.0,0.020887728459530026,38.12096600563359,36.02054362116114,75.14150962679477,14.146397405542093,1.5516707389051874,22.42289786118631,-0.2196026785507197,-1.750114480288886,37.990260780000746,1,-1.750114480288886
normal_seed0,normal,0,1400,periodic_full,0.9986945169712794,0.028720626631853787,37.71232001416227,39.61949228506148,78.3318122992238,13.886683815167824,1.4669863694641805,22.358649829530265,-0.01764002037874235,-0.9641057863598661,40.60123809180009,1,-0.9641057863598661
normal_seed0,normal,0,1500,periodic_full,1.0,0.03524804177545692,38.06507824439857,36.003265797170364,75.06834404156898,13.830838260512529,1.563741075664792,22.670498908221248,-0.16034489500011162,-1.5651400962264024,37.72875078839688,1,-1.5651400962264024
normal_seed0,normal,0,1600,periodic_full,1.0,0.050913838120104436,37.79204804196198,35.68284019993096,74.47488824189298,13.55874234792285,1.121388550660015,23.111917143379117,0.009892451083775455,-0.011584698064543986,35.684532446911724,1,-0.011584698064543986
normal_seed0,normal,0,1700,periodic_full,1.0,0.05613577023498695,37.85360830536433,29.634018546994085,68.48762685235846,13.660475824644806,1.2910678663862818,22.90206461433325,-0.15410780780766942,-1.525764391129682,31.313890745931438,1,-1.525764391129682
normal_seed0,normal,0,1800,periodic_full,1.0,0.08746736292428199,37.35691920866174,27.991951388649504,66.34887059731129,13.674236401386821,1.3695681593716387,22.313114647903284,-0.2998287226844578,-1.547196428816541,29.838976540150504,1,-1.547196428816541
normal_seed0,normal,0,1900,first_val_acc_ge_0.10,1.0,0.12532637075718014,35.5667503821981,29.135612377138536,65.70236275933668,13.252269276502796,1.0647103876851673,21.24977071801014,0.0008903053234163849,0.13012853500281274,29.00459353681231,0,0.0008903053234163849
normal_seed0,normal,0,1900,periodic_full,1.0,0.12532637075718014,35.5667503821981,29.135612377138536,65.70236275933668,13.252269276502796,1.0647103876851673,21.24977071801014,0.0008903053234163849,0.13012853500281274,29.00459353681231,0,0.0008903053234163849
normal_seed0,normal,0,2000,periodic_full,1.0,0.23890339425587467,34.27708565627276,23.884570278508573,59.16165593478137,13.345289505477911,1.1605769234967642,19.771219227298083,-0.1496676424104404,-1.744057277621705,25.778295198540718,1,-1.744057277621705
normal_seed0,normal,0,2025,first_val_acc_ge_0.25,1.0,0.2741514360313316,33.417715008030186,21.67736514981794,56.095080157848166,13.309436138220267,1.0545340311712081,19.053744838638714,-0.29005217399380534,-1.8870468365279631,23.85446416033971,1,-1.8870468365279631
