kind,epoch,path,extra
periodic,21000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep21000.pt,{}
periodic,21500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep21500.pt,{}
periodic,22000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep22000.pt,{}
periodic,22500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep22500.pt,{}
periodic,23000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep23000.pt,{}
periodic,23500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep23500.pt,{}
periodic,24000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep24000.pt,{}
periodic,24500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep24500.pt,{}
periodic,25000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep25000.pt,{}
periodic,25500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep25500.pt,{}
periodic,26000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep26000.pt,{}
periodic,26500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep26500.pt,{}
periodic,27000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep27000.pt,{}
periodic,27500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep27500.pt,{}
periodic,28000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep28000.pt,{}
periodic,28500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep28500.pt,{}
