section,row_kind,key1,key2,key3,metric,value
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r1,linear,val_acc,0.33589041233062744
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r1,linear,test_acc,0.3326941430568695
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r1,mlp,train_acc,0.35483981438673995
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r1,mlp,val_acc,0.3446575403213501
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r1,mlp,test_acc,0.3370771110057831
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r2,linear,train_acc,0.3346004349240595
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r2,linear,val_acc,0.3357534110546112
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r2,linear,test_acc,0.3299548029899597
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r2,mlp,train_acc,0.3574596325405387
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r2,mlp,val_acc,0.3523287773132324
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r2,mlp,test_acc,0.3288590610027313
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,sum,linear,train_acc,0.37598671255629185
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,sum,linear,val_acc,0.3565753400325775
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,sum,linear,test_acc,0.33776193857192993
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,sum,mlp,train_acc,0.36252803890344343
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,sum,mlp,val_acc,0.34972602128982544
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,sum,mlp,test_acc,0.3359813690185547
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r1,linear,train_acc,0.34917210321741066
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r1,linear,val_acc,0.3499999940395355
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r1,linear,test_acc,0.34036433696746826
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r1,mlp,train_acc,0.3217924350610435
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r1,mlp,val_acc,0.34876713156700134
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r1,mlp,test_acc,0.3473496735095978
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r2,linear,train_acc,0.34833307648841627
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r2,linear,val_acc,0.3624657392501831
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r2,linear,test_acc,0.3483084440231323
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r2,mlp,train_acc,0.3185561891063509
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r2,mlp,val_acc,0.35301369428634644
probe,result,hybrid_small_p23_m3_standard_4layer_seed0,r2,mlp,test_acc,0.34803450107574463
ffn_head,run,hybrid_p23_m3_4layer_ffn_head_seed0,,,best_val_acc,0.37232876712328766
ffn_head,run,hybrid_p23_m3_4layer_ffn_head_seed0,,,test_at_best_val,0.3791261471031366
ffn_head,run,hybrid_p23_m3_4layer_ffn_head_seed0,,,sum_delta_attn,
ffn_head,run,hybrid_p23_m3_4layer_ffn_head_seed0,,,sum_delta_mlp,
